"","name_textgrid_file","label","start_time","end_time","duration","previousLabel","followingLabel","mean_F0(Hz)","min_F0(Hz)","max_F0(Hz)","std_dev_F0(Hz)","mean_F1(Hz)","min_F1(Hz)","max_F1(Hz)","std_dev_F1(Hz)","mean_F2(Hz)","min_F2(Hz)","max_F2(Hz)","std_dev_F2(Hz)","mean_HNR(dB)","min_HNR(dB)","max_HNR(dB)","std_dev_HNR(dB)","syll","previous_syll","next_syll","word","previous_word","next_word","pos_dismo","previous_pos_dismo","next_pos-dismo","speaker","previous_speaker","next_speaker","genre","formality","nb_of_speakers","situation_type","interaction","preparation","media","professionalism","naturality","year_of_recording","speaker_gender","speaker_nationality","pos_dismo_large"
"1","aca_2.TextGrid","a",74.8086,74.8472,0.0386000000000024,"d","j","122.30402015212518","118.58520603101763","125.41111843877255","2.522382146591228",486.806986682659,"446.24575513360725",504.977243034046,18.4581517536194,1774.98044992488,1716.94290876877,1869.22126083884,50.9024797693856,"9.718859860244965",7.70345898415476,11.9942023898482,"1.7605269140082547","da","RE","j9R","ailleurs","d'","récemment","ADV","PRP","ADV","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"2","aca_2.TextGrid","k",95.3543,95.4043,0.0500000000000114,"o~","E","125.11787576160073","115.78554972858021","132.66441119471938","6.52324258710853",431.032673101459,"335.874933780337",611.105208307617,96.0548819327312,1478.52575377572,1067.84403871847,1830.30820755287,300.056780221015,"2.4292577064109686",-200.000178475757,4.79320553464232,"2.9176246613038708","kE","do~","tR@","donc","semble","être","CON:coo","VER:pres","VER:inf","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"3","aca_2.TextGrid","k",149.6049,149.6549,0.0500000000000114,"o~","y","156.94489168149724","141.0345607956927","176.98987172335478","13.296818656000049",443.498914462191,"332.380424639607",531.042837841917,65.6615301863131,1239.21504032783,606.192347260722,1614.98486274227,327.263841919389,"5.213684688274823",-200.021264853913,35.5981779516156,"4.2381360340376935","kyn","do~","Re","donc","suppose","une","CON:coo","VER:impe","DET:ind","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"4","aca_2.TextGrid","a",222.7541,222.8055,0.051400000000001,"w","b","218.99032537579458","205.2382252003544","230.9120649379555","6.908660406573963",510.234458100258,"443.2873584266483",536.024132381318,31.6548389818404,1014.95573255235,939.33584393305,1073.62389296958,47.9813853250525,"15.17775584633373",6.35208484055466,20.9932459413539,"5.650876062974084","fwa","tut","bo","toutefois","seraient","beaucoup","ADV","VER:cond","ADV:deg","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"5","aca_2.TextGrid","a",284.0325,284.1181,0.0855999999999995,"l","l","129.0349406067657","127.38458966249627","135.95592700968305","2.2719357928962447",553.151474051289,"395.7797078070991",616.523896994523,60.5213343885756,1662.37099597718,1540.56650305258,1751.57948652202,56.6323839195927,"7.763837034575779",-0.605748313980298,13.7509483920826,"5.252356706089694","la","ti","lOR","alors","il","_","ADV","PRO:per:sjt","_","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"6","aca_3.TextGrid","a",150.8492,150.9192,0.0699999999999932,"d","j","129.0849191972424","119.02771456011479","141.79766076880773","4.967505200142028",511.321294324672,"405.9161387186189",551.01412033603,42.4733785507842,1805.75749496807,1679.73366364866,2079.22130639009,132.409604627114,"6.024823864299882",1.75677081683323,9.72671480689124,"2.3147324229770367","da","ja","j9R","ailleurs","d'","_","ADV","PRP","_","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"7","aca_3.TextGrid","k",156.5864,156.8632,0.276800000000009,"o~","_","108.60398234106461","107.24401863796459","110.28991680361933","1.0689726191720783",650.04685018346,"201.64925648253072",1967.29432205365,374.418883872075,1752.15474970525,601.706783069557,2535.76142089072,420.150265643033,"-0.40999283503059336",-224.797632845181,24.4587476253763,"2.7589718026316024","do~k","so~","_","donc","connaissons","_","CON:coo","VER:pres","_","L1","--undefined--","--undefined--","academic_speech","formal",1,"monologue","non_interactive","prepared","semi_media","professional","natural","2006","M","BE","Adv"
"8","cnf_1.TextGrid","a",0.5124,0.5624,0.05,"w","l","239.32395027402006","237.85940647937173","244.96665867030012","2.0001801550893346",641.109346988576,"547.4737459064398",688.36928598186,43.4763884464926,1755.68864792324,1380.41722074376,1962.51266830253,192.103159447008,"12.548414147773286",8.03781515620904,15.4236093966639,"2.7819878608300903","vwa","_","la","voilà","_","donc","ADV","_","CON:coo","L1","--undefined--","--undefined--","scientific_conference","formal",1,"monologue","non_interactive","semi_prepared","non_media","professional","natural","2009","F","BE","Adv"
"9","cnf_1.TextGrid","a",0.6321,0.7524,0.1203,"l","d","195.532350159532","187.10888923068305","222.2473750606929","10.125353094723913",664.083148058294,"338.4991966394041",828.978190655751,136.342504470003,2006.52417494777,1915.71220519404,2099.14276888885,34.0178384531565,"5.848043406555204",0.429038598967665,10.2831736188434,"2.7517836718393838","la","vwa","do~k","voilà","_","donc","ADV","_","CON:coo","L1","--undefined--","--undefined--","scientific_conference","formal",1,"monologue","non_interactive","semi_prepared","non_media","professional","natural","2009","F","BE","Adv"
"10","cnf_1.TextGrid","k",0.9111,0.9524,0.0413,"o~","v","212.95340768538327","205.81586574047023","220.89953241466222","5.231665146964223",321.430247481528,"236.8119400039751",431.678521263425,59.9594159742458,2141.76862135245,1798.7105108168,2437.48480135444,240.107372890355,"12.21697958340335",-0.330489427766464,22.6594342678379,"9.687219276781091","do~k","la","vu","donc","voilà","vous","CON:coo","ADV","PRO:per:sjt","L1","--undefined--","--undefined--","scientific_conference","formal",1,"monologue","non_interactive","semi_prepared","non_media","professional","natural","2009","F","BE","Adv"
"11","cnf_1.TextGrid","k",8.7447,8.8062,0.0615000000000005,"o~","o~","291.29096130631206","267.37423242822996","294.26880265195416","6.102073974408779",571.059785287165,"351.2234374358372",1351.24162916863,283.675906388514,1551.5725854294,1338.27838708645,2014.91206538361,195.131239979495,"3.827309508025988",-2.28586295797695,11.0234463836444,"4.671415603509687","do~k","e","o~","donc","et","on","CON:coo","CON:coo","PRO:per:sjt","L1","--undefined--","--undefined--","scientific_conference","formal",1,"monologue","non_interactive","semi_prepared","non_media","professional","natural","2009","F","BE","Adv"
